Common_Name,Scientific_Name,Has_photo,Has_species_account,Slug,Photo_attribution,Status1,Status2,Status3,Status4,State_list,Previous_state_list,Federal_list,IL_SGN,Pif_common_steep_decline,jv_focal_sp,iucn_red_list,road2recovery,SBC,BBS,CBC,BBA,CTAP,eBird,
Red-breasted Nuthatch,Sitta canadensis,N,Y,red_breasted_nuthatch,,Migrant,Rare Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Red-eyed Vireo,Vireo olivaceus,N,Y,red_eyed_vireo,,Migrant,Breeder,,,,,,,,,,,Y,Y,N,Y,Y,Y,
Red-shouldered Hawk,Buteo lineatus,N,Y,red_shouldered_hawk,,Migrant,Breeder,Winter,,,"Endangered 1977-1999, Threatened 1999-2004 (too common)",,,,,,,Y,Y,Y,Y,Y,Y,
Ring-billed Gull,Larus delawarensis,N,Y,ring_billed_gull,,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Rock Pigeon,Columba livia,N,Y,rock_pigeon,,Resident,Introduced,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Rose-breasted Grosbeak,Pheucticus ludovicianus,N,Y,rose_breasted_grosbeak,,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Ruby-throated Hummingbird,Archilochus colubris,N,Y,ruby_throated_hummingbird,,Migrant,Breeder,,,,,,,,,,,Y,Y,N,Y,Y,Y,
Ruddy Duck,Oxyura jamaicensis,N,Y,ruddy_duck,,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Ruffed Grouse,Bonasa umbellus,N,Y,ruffed_grouse,,Extirpated,,,,,,,,,,,,Y,N,Y,Y,Y,N,
Savannah Sparrow,Passerculus sandwichensis,N,Y,savannah_sparrow,,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Sedge Wren,Cistothorus platensis,N,Y,sedge_wren,,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Sharp-shinned Hawk,Accipiter striatus,N,Y,sharp_shinned_hawk,,Migrant,Rare Breeder,,,,Endangered 1989 - 1999 (peripheral / Vagrant),,,,,,,Y,Y,Y,Y,N,Y,
Short-eared Owl,Asio flammeus,N,Y,short_eared_owl,,Migrant,Rare Breeder,Winter,,Endangered,Endangered 1977 - 2020,,Y,Y,JV Focal Species,Least Concern,,Y,N,Y,Y,Y,Y,
Song Sparrow,Melospiza melodia,N,Y,song_sparrow,,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Sora,Porzana carolina,N,Y,sora,,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Swainson's Hawk,Buteo swainsoni,N,Y,swainsons_hawk,,Rare Migrant,Rare Breeder,,,Endangered,Endangered 1977 - 2020,,Y,,,,,Y,N,Y,Y,N,N,
Swainson's Warbler,Limnothlypis swainsonii,N,Y,swainsons_warbler,,Migrant,Rare Breeder,,,Endangered,"Threatened 1977 - 1984, Endangered 1984 - 2020",,Y,,,,,Y,N,N,Y,N,N,
Swamp Sparrow,Melospiza georgiana,N,Y,swamp_sparrow,,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Tree Swallow,Tachycineta bicolor,N,Y,tree_swallow,,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Tufted Titmouse,Baeolophus bicolor,N,Y,tufted_titmouse,,Resident,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Upland Sandpiper,Bartramia longicauda,N,Y,upland_sandpiper,,Migrant,Breeder,,,Endangered,Endangered 1977 - 2020,,Y,,,,,Y,Y,N,Y,Y,Y,
Veery,Catharus fuscescens,N,Y,veery,,Migrant,Breeder,,,,Threatened 1977 - 1999 (too common),,,,,,,Y,N,Y,Y,Y,Y,
Virginia Rail,Rallus limicola,N,Y,virginia_rail,,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Western Cattle Egret,Bubulcus ibis,N,Y,cattle_egret,,Migrant,Rare Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Western Meadowlark,Sturnella neglecta,N,Y,western_meadowlark,,Migrant,Breeder,Rare Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
White-eyed Vireo,Vireo griseus,N,Y,white_eyed_vireo,,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Willow Flycatcher,Empidonax traillii,N,Y,willow_flycatcher,,Migrant,Breeder,,,,,,Y,,,,,Y,Y,N,Y,Y,Y,
Wilson's Snipe,Gallinago delicata,N,Y,wilsons_snipe,,Migrant,Breeder,,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,
Wood Thrush,Hylocichla mustelina,N,Y,wood_thrush,,Migrant,Breeder,,,,,,Y,,JV Focal Species,Least Concern,Moderate Urgency,Y,Y,Y,Y,Y,Y,
Yellow-bellied Sapsucker,Sphyrapicus varius,N,Y,yellow_bellied_sapsucker,,Migrant,Rare Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Yellow-billed Cuckoo,Coccyzus americanus,N,Y,yellow_billed_cuckoo,,Migrant,Breeder,,,,,,Y,Y,,,,Y,Y,N,Y,Y,Y,
Yellow-breasted Chat,Icteria virens,N,Y,yellow_breasted_chat,,Migrant,Breeder,,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,
Yellow-crowned Night Heron,Nyctanassa violacea,N,Y,yellow_crowned_night_heron,,Migrant,Breeder,,,Endangered,"Threatened 1994, Endangered 1999-2020",,Y,,,,,Y,Y,N,Y,Y,Y,
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,N,Y,yellow_headed_blackbird,,Migrant,Breeder,,,Endangered,Endangered (1977-2020),,Y,,,,,Y,Y,Y,Y,Y,Y,
Yellow-throated Vireo,Vireo flavifrons,N,Y,yellow_throated_vireo,,Migrant,Breeder,,,,,,,,,,,Y,Y,N,Y,Y,Y,
Yellow-throated Warbler,Setophaga dominica,N,Y,yellow_throated_warbler,,Migrant,Breeder,,,,,,,,,,,Y,Y,N,Y,Y,Y,
Allen's Hummingbird,Selasphorus sasin,N,N,allens_hummingbird,,Vagrant,,,,,,,,,,,Very High Urgency,N,N,N,N,N,N,
American Avocet,Recurvirostra americana,N,N,american_avocet,,Migrant,,,,,,,,,,,,Y,N,N,N,N,Y,
American Pipit,Anthus rubescens,N,N,american_pipit,,Migrant,Rare Winter,,,,,,,,,,,Y,N,Y,N,N,Y,
American White Pelican,Pelecanus erythrorhynchos,N,N,american_white_pelican,,Migrant,Rare Breeder,Winter,,,,,,,,,,Y,N,Y,N,Y,Y,
American Wigeon,Mareca americana,N,N,american_wigeon,,Migrant,Winter,,,,,,,,,,,Y,N,Y,Y,N,Y,
Ancient Murrelet,Synthliboramphus antiquus,N,N,ancient_murrelet,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Anhinga,Anhinga anhinga,N,N,anhinga,,Vagrant,Rare Breeder,,,,,,,,,,,Y,N,N,N,N,N,
Anna's Hummingbird,Calypte anna,N,N,annas_hummingbird,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Arctic Tern,Sterna paradisaea,N,N,arctic_tern,,Vagrant,,,,,,,,,,,,Y,N,N,N,N,N,
Ash-throated Flycatcher,Myiarchus cinerascens,N,N,ash_throated_flycatcher,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Bachman's Sparrow,Peucaea aestivalis,N,N,bachmans_sparrow,,Extirpated,,,,,Endangered 1977-1999 (extirpated),,,,,,High Urgency,Y,N,Y,N,N,N,
Baird's Sandpiper,Calidris bairdii,N,N,bairds_sandpiper,,Migrant,,,,,,,,,,,,Y,N,Y,N,N,N,
Band-tailed Pigeon,Patagioenas fasciata,N,N,band_tailed_pigeon,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Barnacle Goose,Branta leucopsis,N,N,barnacle_goose,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Barrow's Goldeneye,Bucephala islandica,N,N,barrows_goldeneye,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Black Rail,Laterallus jamaicensis,N,N,black_rail,,Rare Migrant,Rare Breeder,,,Endangered,Endangered 1977 - 2020,Threatened,Y,,,Endangered,,Y,N,N,N,Y,N,sensitive?
Black Scoter,Melanitta americana,N,N,black_scoter,,Migrant,Winter,,,,,,,,,,High Urgency,Y,N,Y,N,N,N,
Black Skimmer,Rynchops niger,N,N,black_skimmer,,Vagrant,,,,,,,,,,,Moderate Urgency,N,N,N,N,N,N,
Black-backed Woodpecker,Picoides arcticus,N,N,black_backed_woodpecker,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Black-bellied Plover,Pluvialis squatarola,N,N,black_bellied_plover,,Migrant,,,,,,,,,,,,Y,N,Y,N,N,Y,
Black-billed Magpie,Pica hudsonia,N,N,black_billed_magpie,,Vagrant,,,,,,,,,,,,Y,N,Y,N,N,N,
Blackburnian Warbler,Setophaga fusca,N,N,blackburnian_warbler,,Migrant,,,,,,,,,,,,Y,N,N,N,Y,Y,
Black-headed Grosbeak,Pheucticus melanocephalus,N,N,black_headed_grosbeak,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Black-headed Gull,Chroicocephalus ridibundus,N,N,black_headed_gull,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Black-legged Kittiwake,Rissa tridactyla,N,N,black_legged_kittiwake,,Rare Migrant,Rare Winter,,,,,,,,,,,Y,N,Y,N,N,N,
Black-necked Stilt,Himantopus mexicanus,N,N,black_necked_stilt,,Migrant,Breeder,,,,,,,,,,,Y,Y,N,N,N,Y,
Blackpoll Warbler,Setophaga striata,N,N,blackpoll_warbler,,Migrant,,,,,,,,Y,JV Focal Species,Near Threatened,,Y,N,N,Y,Y,Y,
Black-tailed Gull,Larus crassirostris,N,N,black_tailed_gull,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Black-throated Blue Warbler,Setophaga caerulescens,N,N,black_throated_blue_warbler,,Migrant,,,,,,,,,,,,Y,N,N,N,N,Y,
Black-throated Gray Warbler,Setophaga nigrescens,N,N,black_throated_gray_warbler,,Vagrant,,,,,,,,,,,,Y,N,N,N,N,N,
Black-throated Sparrow,Amphispiza bilineata,N,N,black_throated_sparrow,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Blue-headed Vireo,Vireo solitarius,N,N,blue_headed_vireo,,Migrant,Rare Breeder,,,,,,,,,,,Y,N,N,N,Y,Y,
Bohemian Waxwing,Bombycilla garrulus,N,N,bohemian_waxwing,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Bonaparte's Gull,Chroicocephalus philadelphia,N,N,bonapartes_gull,,Migrant,,,,,,,,,,,,Y,N,Y,N,N,Y,
Boreal Chickadee,Poecile hudsonicus,N,N,boreal_chickadee,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Boreal Owl,Aegolius funereus,N,N,boreal_owl,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Brant,Branta bernicla,N,N,brant,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Brewer's Sparrow,Spizella breweri,N,N,brewers_sparrow,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Broad-billed Hummingbird,Cynanthus latirostris,N,N,broad_billed_hummingbird,,Vagrant,,,,,,,,,,,,Y,N,N,N,N,N,
Brown Pelican,Pelecanus occidentalis,N,N,brown_pelican,,Vagrant,,,,,,,,,,,,Y,N,N,Y,N,N,
Brown-headed Nuthatch,Sitta pusilla,N,N,brown_headed_nuthatch,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Buff-breasted Sandpiper,Calidris subruficollis,N,N,buff_breasted_sandpiper,,Migrant,,,,,,,Y,,,Near Threatened,High Urgency,Y,N,N,N,N,N,
Bufflehead,Bucephala albeola,N,N,bufflehead,,Migrant,Winter,,,,,,,,,,,Y,N,Y,Y,N,Y,
Bullock's Oriole,Icterus bullockii,N,N,bullocks_oriole,,Vagrant,,,,,,,,,,,,Y,N,N,N,N,N,
Burrowing Owl,Athene cunicularia,N,N,burrowing_owl,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Cackling Goose,Branta hutchinsii,N,N,cackling_goose,,Migrant,Winter,,,,,,,,,,,Y,N,Y,N,N,N,
California Gull,Larus californicus,N,N,california_gull,,Vagrant,,,,,,,,,,,,Y,N,Y,N,N,N,
California/Woodhouse's Scrub-Jay,Aphelocoma californica,N,N,california_woodhouses_scrub_jay,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Canvasback,Aythya valisineria,N,N,canvasback,,Migrant,Rare Breeder,Winter,,,,,Y,,,,,Y,N,Y,N,N,Y,
Cape May Warbler,Setophaga tigrina,N,N,cape_may_warbler,,Migrant,,,,,,,,,,,,Y,N,Y,N,Y,Y,
Caspian Tern,Hydroprogne caspia,N,N,caspian_tern,,Migrant,Rare Breeder,,,,,,,,,,,Y,Y,N,Y,Y,Y,
Cassin's Kingbird,Tyrannus vociferans,N,N,cassins_kingbird,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Cassin's Sparrow,Peucaea cassinii,N,N,cassins_sparrow,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Cassin's Vireo,Vireo cassinii,N,N,cassins_vireo,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Cave Swallow,Petrochelidon fulva,N,N,cave_swallow,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Chestnut-collared Longspur,Calcarius ornatus,N,N,chestnut_collared_longspur,,Vagrant,,,,,,,,,,,Very High Urgency,N,N,N,N,N,N,
Cinnamon Teal,Spatula cyanoptera,N,N,cinnamon_teal,,Migrant,,,,,,,,Y,,,,Y,N,Y,N,N,N,
Clark's Grebe,Aechmophorus clarkii,N,N,clarks_grebe,,Vagrant,,,,,,,,,,,Moderate Urgency,N,N,N,N,N,N,
Clark's Nutcracker,Nucifraga columbiana,N,N,clarks_nutcracker,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Common Eider,Somateria mollissima,N,N,common_eider,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Common Goldeneye,Bucephala clangula,N,N,common_goldeneye,,Migrant,Winter,,,,,,,,,,,Y,N,Y,N,N,Y,
Common Ground-Dove,Columbina passerina,N,N,common_ground_dove,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Common Merganser,Mergus merganser,N,N,common_merganser,,Migrant,Winter,,,,,,,,,,,Y,N,Y,Y,N,Y,
Common Raven,Corvus corax,N,N,common_raven,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Common Redpoll,Acanthis flammea,N,N,common_redpoll,,Migrant,Winter,,,,,,,,,,,Y,N,Y,N,N,N,
Common Ringed Plover,Charadrius hiaticula,N,N,common_ringed_plover,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Connecticut Warbler,Oporornis agilis,N,N,connecticut_warbler,,Migrant,,,,,,,Y,,,,,Y,N,N,N,N,N,
Curlew Sandpiper,Calidris ferruginea,N,N,curlew_sandpiper,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Curve-billed Thrasher,Toxostoma curvirostre,N,N,curve_billed_thrasher,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Dark-eyed Junco,Junco hyemalis,N,N,dark_eyed_junco,,Migrant,Winter,,,,,,,,,,,Y,N,Y,Y,N,Y,
Dovekie,Alle alle,N,N,dovekie,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Eared Grebe,Podiceps nigricollis,N,N,eared_grebe,,Migrant,,,,,,,,,,,,Y,N,Y,N,N,N,
Eurasian Collared-Dove,Streptopelia decaocto,N,N,eurasian_collared_dove,,Resident,Introduced,,,,,,,,,,,Y,Y,Y,N,Y,Y,
Eurasian Wigeon,Mareca penelope,N,N,eurasian_wigeon,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
European Goldfinch,Carduelis carduelis,N,N,european_goldfinch,,Resident,,,,,,,,,,,,Y,Y,Y,N,N,Y,
Evening Grosbeak,Coccothraustes vespertinus,N,N,evening_grosbeak,,Rare Migrant,Rare Winter,,,,,,,,,Vulnerable,High Urgency,Y,N,Y,N,N,N,
Ferruginous Hawk,Buteo regalis,N,N,ferruginous_hawk,,Vagrant,,,,,,,,,,,,Y,N,Y,N,N,N,
Fork-tailed Flycatcher,Tyrannus savana,N,N,fork_tailed_flycatcher,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Fox Sparrow,Passerella iliaca,N,N,fox_sparrow,,Migrant,Winter,,,,,,,,,,,Y,N,Y,Y,N,Y,
Franklin's Gull,Leucophaeus pipixcan,N,N,franklins_gull,,Migrant,,,,,,,,Y,,,,Y,N,Y,Y,N,Y,
Fulvous Whistling-Duck,Dendrocygna bicolor,N,N,fulvous_whistling_duck,,Vagrant,Rare Breeder,,,,,,,,,,,N,N,N,N,N,N,
Gadwall,Mareca strepera,N,N,gadwall,,Migrant,Rare Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Garganey,Spatula querquedula,N,N,garganey,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Glaucous Gull,Larus hyperboreus,N,N,glaucous_gull,,Migrant,Winter,,,,,,,,,,,Y,N,Y,N,N,N,
Glaucous-winged Gull,Larus glaucescens,N,N,glaucous_winged_gull,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Glossy Ibis,Plegadis falcinellus,N,N,glossy_ibis,,Rare Migrant,,,,,,,,,,,,Y,N,N,N,N,N,
Golden Eagle,Aquila chrysaetos,N,N,golden_eagle,,Rare Migrant,Rare Winter,,,,,,,,,,,Y,N,Y,N,N,N,
Golden-crowned Sparrow,Zonotrichia atricapilla,N,N,golden_crowned_sparrow,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Grace's Warbler,Setophaga graciae,N,N,grace's_warbler,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Gray Kingbird,Tyrannus dominicensis,N,N,gray_kingbird,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Gray-cheeked Thrush,Catharus minimus,N,N,gray_cheeked_thrush,,Migrant,,,,,,,,,,,,Y,N,Y,N,N,Y,
Gray-crowned Rosy-Finch,Leucosticte tephrocotis,N,N,gray_crowned_rosy_finch,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Great Black-backed Gull,Larus marinus,N,N,great_black_backed_gull,,Migrant,Winter,,,,,,,,,,High Urgency,N,N,Y,N,N,N,
Great Kiskadee,Pitangus sulphuratus,N,N,great_kiskadee,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Greater Scaup,Aythya marila,N,N,greater_scaup,,Migrant,Winter,,,,,,,Y,,,,Y,N,Y,Y,N,Y,
Greater White-fronted Goose,Anser albifrons,N,N,greater_white_fronted_goose,,Migrant,Winter,,,,,,,,,,,Y,N,Y,N,N,Y,
Greater Yellowlegs,Tringa melanoleuca,N,N,greater_yellowlegs,,Migrant,,,,,,,,,,,,Y,N,Y,N,Y,Y,
Great-tailed Grackle,Quiscalus mexicanus,N,N,great_tailed_grackle,,Vagrant,,,,,,,,,,,,Y,Y,Y,N,N,N,
Green-tailed Towhee,Pipilo chlorurus,N,N,green_tailed_towhee,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Green-winged Teal,Anas crecca,N,N,green_winged_teal,,Migrant,Rare Breeder,Winter,,,,,,,,,,Y,N,Y,Y,Y,Y,
Groove-billed Ani,Crotophaga sulcirostris,N,N,groove_billed_ani,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Gull-billed Tern,Gelochelidon nilotica,N,N,gull_billed_tern,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Gyrfalcon,Falco rusticolus,N,N,gyrfalcon,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Harlequin Duck,Histrionicus histrionicus,N,N,harlequin_duck,,Vagrant,,,,,,,,,,,,Y,N,Y,N,N,N,
Harris's Sparrow,Zonotrichia querula,N,N,harriss_sparrow,,Migrant,Winter,,,,,,,,,,High Urgency,Y,N,Y,N,N,N,
Hepatic Tanager,Piranga flava,N,N,hepatic_tanager,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Hermit Thrush,Catharus guttatus,N,N,hermit_thrush,,Migrant,Winter,,,,,,,,,,,Y,N,Y,N,N,Y,
Hermit Warbler,Setophaga occidentalis,N,N,hermit_warbler,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Hoary Redpoll,Acanthis hornemanni,N,N,hoary_redpoll,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Horned Grebe,Podiceps auritus,N,N,horned_grebe,,Migrant,Winter,,,,,,,,,,,Y,N,Y,N,N,Y,
Hudsonian Godwit,Limosa haemastica,N,N,hudsonian_godwit,,Migrant,,,,,,,,,,,Very High Urgency,Y,N,N,N,N,N,
Iceland Gull,Larus glaucoides,N,N,iceland_gull,,Migrant,Winter,,,,,,,,,,,Y,N,Y,N,N,N,
Inca Dove,Columbina inca,N,N,inca_dove,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Ivory Gull,Pagophila eburnea,N,N,ivory_gull,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
King Eider,Somateria spectabilis,N,N,king_eider,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Kirtland's Warbler,Setophaga kirtlandii,N,N,kirtlands_warbler,,Vagrant,,,,,,,,,JV Focal Species,Near Threatened,,N,N,N,N,N,N,
Lapland Longspur,Calcarius lapponicus,N,N,lapland_longspur,,Migrant,Winter,,,,,,,,,,,Y,N,N,N,N,Y,
Large-billed Tern,Phaetusa simplex,N,N,large_billed_tern,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Lark Bunting,Calamospiza melanocorys,N,N,lark_bunting,,Vagrant,,,,,,,,Y,,,,Y,N,N,N,N,N,
Laughing Gull,Leucophaeus atricilla,N,N,laughing_gull,,Migrant,,,,,,,,,,,,Y,N,Y,Y,N,N,
Lazuli Bunting,Passerina amoena,N,N,lazuli_bunting,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Least Sandpiper,Calidris minutilla,N,N,least_sandpiper,,Migrant,,,,,,,,,,,,Y,N,Y,N,Y,Y,
Least Tern,Sternula antillarum,N,N,least_tern,,Migrant,Rare Breeder,,,Endangered,Endangered 1977 - 2020,,Y,,,,Very High Urgency,Y,Y,N,Y,N,Y,
LeConte's Sparrow,Ammospiza leconteii,N,N,lecontes_sparrow,,Migrant,Rare Winter,,,,,,Y,,,,High Urgency,Y,N,Y,N,N,N,
Lesser Black-backed Gull,Larus fuscus,N,N,lesser_black_backed_gull,,Migrant,,,,,,,,,,,,Y,N,Y,N,N,Y,
Lesser Scaup,Aythya affinis,N,N,lesser_scaup,,Migrant,Rare Breeder,Winter,,,,,Y,,,,,Y,N,Y,Y,N,Y,
Lesser Yellowlegs,Tringa flavipes,N,N,lesser_yellowlegs,,Migrant,,,,,,,Y,,,,Very High Urgency,Y,N,Y,N,Y,Y,
Lewis's Woodpecker,Melanerpes lewis,N,N,lewiss_woodpecker,,Vagrant,,,,,,,,,,,,Y,N,N,N,N,N,
Limpkin,Aramus guarauna,N,N,limpkin,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Lincoln's Sparrow,Melospiza lincolnii,N,N,lincolns_sparrow,,Migrant ,Rare Winter,,,,,,,,,,,Y,N,Y,N,N,Y,
Little Gull,Hydrocoloeus minutus,N,N,little_gull,,Rare Migrant,,,,,,,,,,,,Y,N,Y,Y,N,N,
Little Stint,Calidris minuta,N,N,little_stint,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Long-billed Curlew,Numenius americanus,N,N,long_billed_curlew,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Long-billed Dowitcher,Limnodromus scolopaceus,N,N,long_billed_dowitcher,,Migrant,,,,,,,,,,,Moderate Urgency,Y,N,Y,N,N,Y,
Long-eared Owl,Asio otus,N,N,long_eared_owl,,Migrant,Rare Breeder,Winter,,,Endangered 1977-1999 (peripheral / Vagrant),,,,,,,Y,N,Y,Y,N,N,sensitive
Long-tailed Duck,Clangula hyemalis,N,N,long_tailed_duck,,Migrant,Winter,,,,,,,Y,,,,Y,N,Y,N,N,Y,
Long-tailed Jaeger,Stercorarius longicaudus,N,N,long_tailed_jaeger,,Rare Migrant,,,,,,,,,,,,N,N,N,N,N,N,
MacGillivray's Warbler,Geothlypis tolmiei,N,N,macgillivrays_warbler,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Magnificent Frigatebird,Fregata magnificens,N,N,magnificent_frigatebird,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Magnolia Warbler,Setophaga magnolia,N,N,magnolia_warbler,,Migrant,,,,,,,,,,,,Y,N,Y,N,N,Y,
Marbled Godwit,Limosa fedoa,N,N,marbled_godwit,,Migrant,,,,,,,,,,,,Y,N,N,N,N,N,
Merlin,Falco columbarius,N,N,merlin,,Migrant,Rare Breeder,Winter,,,,,,,,,,Y,N,Y,Y,N,Y,
Mew Gull,Larus canus,N,N,mew_gull,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Mexican Violetear,Colibri thalassinus,N,N,mexican_violetear,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Mottled Duck,Anas fulvigula,N,N,mottled_duck,,Vagrant,,,,,,,,,,,Very High Urgency,N,N,Y,N,N,N,
Mountain Bluebird,Sialia currucoides,N,N,mountain_bluebird,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Mountain Plover,Charadrius montanus,N,N,mountain_plover,,Vagrant,,,,,,,,,,,Very High Urgency,N,N,N,N,N,N,
Nashville Warbler,Leiothlypis ruficapilla,N,N,nashville_warbler,,Migrant,,,,,,,,,,,,Y,N,N,N,Y,Y,
Nelson's Sparrow,Ammospiza nelsoni,N,N,nelsons_sparrow,,Migrant,,,,,,,,,,,,Y,N,N,N,N,N,
Neotropic Cormorant,Phalacrocorax brasilianus,N,N,neotropic_cormorant,,Rare Migrant,Rare Breeder,,,,,,,,,,,Y,N,Y,N,Y,N,
Northern Gannet,Morus bassanus,N,N,northern_gannet,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Northern Goshawk,Accipiter gentilis,N,N,northern_goshawk,,Rare Migrant,Rare Winter,,,,,,,,,,,Y,N,Y,N,N,N,
Northern Hawk Owl,Surnia ulula,N,N,northern_hawk_owl,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Northern Shrike,Lanius borealis,N,N,northern_shrike,,Migrant,Winter,,,,,,,,,,,N,N,Y,N,N,Y,
Northern Waterthrush,Parkesia noveboracensis,N,N,northern_waterthrush,,Migrant,,,,,,,,,,,,Y,N,Y,N,Y,Y,
Northern Wheatear,Oenanthe oenanthe,N,N,northern_wheatear,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Olive-sided Flycatcher,Contopus cooperi,N,N,olive_sided_flycatcher,,Migrant,,,,,,,,,,Near Threatened,Moderate Urgency,Y,N,N,N,Y,Y,
Orange-crowned Warbler,Leiothlypis celata,N,N,orange_crowned_warbler,,Migrant,,,,,,,,,,,,Y,N,Y,N,N,Y,
Pacific Loon,Gavia pacifica,N,N,pacific_loon,,Rare Migrant,,,,,,,,,,,,N,N,Y,N,N,N,
Pacific-slope/Cordilleran Flycatcher,Empidonax difficilis,N,N,pacific_slope_cordilleran_flycatcher,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
